?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9606chr8q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qB1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qB1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p24.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p24.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q24.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q24.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16q12.4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q12.4 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp22.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp22.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p36.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p36.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q44>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q44 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9031chr8>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr11p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9913chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (cow)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_7955chr18>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qC1.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qC1.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q36.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q36.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9940chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p13.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p13.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p16.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p16.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9823chr13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr6>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9823chr9>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q35>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q35 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q42.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q42.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14p (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr20q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYp11.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYp11.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qE3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qE3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q12.1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.4 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqF>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqF (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q32.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q32.2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q21.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q21.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18p11.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p11.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p36.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p36.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q4 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q31.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q31.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p15.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p15.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qD1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qD1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q21 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYq12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYq12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_7955chr13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q22.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q22.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q23.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q23.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q25.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q25.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9940chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qE1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qE1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q13.5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q13.5 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q16.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q16.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qC5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qC5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q36>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q36 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q15 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9823chr4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q23 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1 (cow)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qB4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qB4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qB1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qB1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q32 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qC3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qC3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q14.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q14.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qA3.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qA3.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q11.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q11.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr19p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q26.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q26.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p36.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p36.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qA1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qA1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q26.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q26.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qE2.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qE2.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q13.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q13.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q34.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p15.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p15.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q28>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q28 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qB3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qB3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p16 (Human)"	
<http://purl.obolibrary.org/obo/NCBITaxon_7955>	<http://www.w3.org/2000/01/rdf-schema#label>	"Danio rerio"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p25.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p25.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q24.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q24.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qA5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qA5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qC3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qC3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrYqC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYqC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q37>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q37 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p14 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qE2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qE2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p11.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p11.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp22.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp22.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q11.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q11.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p15.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p15.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p12.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18p11.21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p11.21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p32.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p32.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qB4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qB4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.41>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.41 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q42>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q42 (Rat)"	
